Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,OECD - Total,Brazil,Russian Federation
0.927,0.934,0.874,0.987,0.377,0.940,0.974,0.430,0.960,0.967,0.940,0.967,0.682,0.974,0.987,0.748,0.967,0.576,0.722,0.954,0.722,1,0.987,0.980,0.768,0.940,0.927,0.974,1,1,0.993,0.159,0.980,0.993,0.861,0.556,0.000
0.438,0.375,0.438,0.313,0.500,0.125,0.188,0.438,0.313,0.375,0.375,0.000,0.375,0.375,0.438,0.375,0.250,0.313,0.688,0.250,0.375,0.375,0.125,0.625,0.250,0.563,0.125,0.438,0.438,0.375,0.250,0.375,0.188,0.500,0.375,0.375,1
0.875,0.438,0.875,1,0.250,0.313,0.688,0.438,0.625,0.563,0.563,0.188,0.063,0.438,0.750,0.125,0.313,0.563,0.313,0.688,0.063,0.688,0.875,0.688,0.063,0.438,0.188,0.313,0.625,0.500,0.625,0.125,0.625,0.875,0.438,0.313,0.000
0.715,0.648,0.599,0.681,0.118,0.238,0.509,0.139,0.568,0.651,0.699,0.301,0.169,0.414,0.459,0.346,0.493,0.505,0.264,0.867,0.087,0.527,0.392,0.745,0.203,0.291,0.237,0.321,0.427,0.590,0.699,0.119,0.531,1,0.466,0.000,0.237
0.272,0.346,0.580,0.463,0.114,0.112,0.283,0.035,0.130,0.342,0.356,0.083,0.080,0.307,0.191,0.406,0.392,0.633,0.193,0.416,0.055,0.523,0.032,0.039,0.055,0.203,0.049,0.120,0.159,0.401,0.753,0.000,0.438,1,0.306,0.027,0.000
0.742,0.774,0.419,0.742,0.419,0.581,0.774,0.581,0.677,0.484,0.774,0.065,0.258,1,0.323,0.581,0.290,0.710,0.484,0.548,0.387,0.839,0.742,0.871,0.355,0.419,0.355,0.484,0.226,0.806,0.968,0.000,0.710,0.581,0.516,0.581,0.645
0.893,0.960,0.886,0.745,0.872,0.906,0.799,0.832,0.758,0.752,0.973,0.383,0.738,0.899,0.758,0.752,0.819,0.993,0.987,0.919,0.872,0.946,0.799,0.993,0.698,0.577,0.799,0.852,0.000,0.752,1,0.664,0.812,0.765,0.832,0.866,0.919
0.927,0.926,0.766,0.938,0.861,0.790,0.854,0.620,0.886,0.724,0.825,0.000,0.649,0.884,0.357,0.937,0.606,0.884,1,0.892,0.994,0.877,0.937,0.981,0.756,0.470,0.382,0.706,0.226,0.903,0.898,0.841,0.809,0.836,0.811,0.850,0.883
0.835,0.776,0.850,0.780,0.163,0.275,0.815,0.207,0.671,0.663,0.732,0.422,0.272,0.681,0.927,0.425,0.554,0.607,0.565,0.964,0.146,0.809,0.507,0.836,0.286,0.335,0.270,0.543,0.580,0.667,0.959,0.206,0.707,1,0.715,0.000,0.289
0.893,0.964,0.821,0.929,0.607,0.679,1,0.750,0.893,0.821,0.893,0.000,0.679,1,0.964,0.750,0.821,0.786,0.321,0.714,0.214,0.857,1,0.893,0.750,0.607,0.714,0.893,0.857,0.821,0.929,0.393,0.929,0.786,0.750,0.786,0.571
0.677,0.806,0.629,0.919,0.645,0.968,0.726,0.919,0.839,0.645,0.871,0.565,0.806,0.629,0.661,0.823,0.387,0.984,0.790,0.726,0.065,0.645,0.677,0.806,0.919,0.048,0.952,0.839,0.355,0.887,0.871,0.000,0.726,0.919,0.694,0.177,1
0.786,0.700,0.764,0.857,0.243,0.700,0.686,0.886,0.907,0.700,0.807,0.457,0.607,0.586,0.814,0.514,0.629,0.986,1,0.629,0.107,0.836,0.764,0.671,0.850,0.614,0.500,0.693,0.629,0.571,0.829,0.429,0.714,0.643,0.679,0.000,0.564
0.839,0.500,0.839,0.518,0.411,0.679,0.911,0.607,1,0.429,0.714,0.804,0.607,0.964,0.607,0.286,0.518,0.375,0.607,0.000,0.196,0.804,0.714,0.679,0.750,0.661,0.411,0.750,0.625,0.911,0.536,0.339,0.446,0.536,0.643,0.393,0.304
0.892,0.514,0.676,0.838,0.000,0.811,0.838,1,0.838,0.919,0.811,0.514,0.838,0.757,0.892,0.676,0.676,0.595,0.432,0.919,0.432,0.432,0.946,0.811,0.351,0.757,0.892,0.541,0.595,0.973,0.703,0.297,0.892,0.757,0.703,0.757,0.838
0.925,0.962,0.755,0.868,0.660,0.698,0.962,0.679,0.962,0.774,0.943,0.415,0.623,1,0.755,0.415,0.679,0.792,0.642,0.698,0.453,0.943,0.849,0.981,0.623,0.811,0.717,0.868,0.585,1,0.962,0.302,0.906,0.811,0.755,0.434,0.000
0.895,0.537,0.263,0.895,0.000,0.505,0.526,0.137,0.737,0.158,0.263,0.474,0.621,0.326,0.737,0.053,0.316,0.558,0.884,0.421,0.737,0.432,0.874,0.642,0.926,0.474,0.484,0.874,0.558,0.937,0.674,0.368,1,0.663,0.558,0.211,0.053
1,0.591,0.909,0.273,0.886,0.227,0.886,0.341,0.455,0.705,0.523,0.295,0.341,0.727,0.477,0.432,0.591,0.227,0.614,0.955,0.318,0.591,0.568,0.659,0.136,0.205,0.227,0.386,0.455,0.818,0.000,0.886,0.386,0.409,0.523,0.682,0.364
0.942,0.877,0.833,0.870,0.674,0.652,0.790,0.529,0.841,0.957,0.855,0.855,0.435,0.971,0.841,0.928,0.993,0.993,0.877,0.877,0.391,0.891,0.884,0.899,0.572,0.855,0.514,0.804,0.971,0.935,1,0.406,0.877,0.703,0.804,0.319,0.000
